nd warehousing, and utilities:","3,670","+/-998","2,672","4,668"
"B24040",177.000,"Transportation and warehousing:","3,127","+/-887","2,240","4,014"
"B24040",178.000,"Air transportation","566","+/-363","203","929"
"B24040",179.000,"Rail transportation","0","+/-292","0","292"
"B24040",180.000,"Water transportation","59","+/-97","0","156"
"B24040",181.000,"Truck transportation","214","+/-278","0","492"
"B24040",182.000,"U. S. Postal service","614","+/-446","168","1,060"
"B24040",183.000,"Other transportation,
