02",48.3,,,,,
"DP02",48.5,"Characteristics of grandparents responsible for own grandchildren under 18 years",,,,
"DP02",49.0,"Who are female","47.1","+/-6.3","(X)","(X)"
"DP02",50.0,"Who are married","71.1","+/-11.2","(X)","(X)"
"DP02",50.3,,,,,
"DP02",50.5,"SCHOOL ENROLLMENT",,,,
"DP02",51.0,"Population 3 years and over enrolled in school","171,163","+/-5,280","100","(X)"
"DP02",52.0,"Nursery school, preschool","9,045","+/-1,299","5.3","+/-0.7"
"DP02",53.0,"Kindergarten","7,228","+/-1,441","4.2","+/-0.8"
"
