2000","65.5%","13.0","100.0%","11.1","*"
"DP02",98.3,,,,,,
"DP02",99.0,"Foreign born","12,606","1,610","14,517","1,907",
"DP02",100.0,"Entered 2000 or later","15.8%","3.9","33.6%","8.5","*"
"DP02",101.0,"Entered before 2000","84.2%","3.9","66.4%","8.5","*"
"DP02",101.3,,,,,,
"DP02",101.5,"WORLD REGION OF BIRTH OF FOREIGN BORN",,,,,
"DP02",102.0,"Foreign-born population, excluding population born at sea","N","N","N","N","N"
"DP02",103.0,"Europe","N","N","N","N","N"
"DP02",104.0,"Asia","N","N","N","N","N"
"DP
