94)",147,"Oceania","0.6","+/-0.7","-","**"
"573","American (993-994)",148,"Latin America","50.4","+/-8.3","-","**"
"573","American (993-994)",149,"Northern America","3.4","+/-2.4","-","**"
"573","American (993-994)",150,"Population 5 years and over","628,683","+/-4,553","162,017","+/-8,392"
"573","American (993-994)",151,"English only","96.0","+/-0.5","99.3","+/-0.5"
"573","American (993-994)",152,"Language other than English","4.0","+/-0.5","0.7","+/-0.5"
"573","American (993-994)",153,"Speak English less 
