       653","           114","         1,192"
"50000US3000","2"," 96","       892,497","         *****","         *****"
"50000US3000","2"," 97","         1,907","           557","         3,257"
"50000US3000","2"," 98","         6,698","         4,856","         8,540"
"50000US3000","2"," 99","        16,558","        11,804","        21,312"
"50000US3000","2","100","        24,971","        20,957","        28,985"
"50000US3000","2","101","       120,461","       112,646","       128,276"
"50000US3
