ing and hunting, and mining","33,417","+/-2,328","31,089","35,745"
"C08526",17.000,"Construction","138,996","+/-4,991","134,005","143,987"
"C08526",18.000,"Manufacturing","318,156","+/-6,063","312,093","324,219"
"C08526",19.000,"Wholesale trade","77,334","+/-4,039","73,295","81,373"
"C08526",20.000,"Retail trade","246,578","+/-6,739","239,839","253,317"
"C08526",21.000,"Transportation and warehousing, and utilities","102,224","+/-3,846","98,378","106,070"
"C08526",22.000,"Information and finance and insuran
