133.000,"Motor vehicle, parts and supplies merchant wholesalers","0","+/-265","0","265"
"B24030",134.000,"Furniture and home furnishing merchant wholesalers","0","+/-265","0","265"
"B24030",135.000,"Lumber and other construction materials merchant wholesalers","0","+/-265","0","265"
"B24030",136.000,"Professional and commercial equipment and supplies merchant wholesalers","205","+/-199","6","404"
"B24030",137.000,"Metal and mineral, except petroleum, merchant wholesalers","139","+/-250","0","389"
"B24030",1
