15,939,431,800","+/-769,383,114","15,170,048,686","16,708,814,914"
"B19025I",.,"AGGREGATE HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2007 INFLATION-ADJUSTED DOLLARS) (HISPANIC OR LATINO HOUSEHOLDER)",,,,
"B19025I",.,"Universe:  Households with a householder who is Hispanic or Latino",,,,
"B19025I",1.000,"Aggregate household income in the past 12 months (in 2007 inflation-adjusted dollars)","2,764,005,100","+/-211,140,822","2,552,864,278","2,975,145,922"
"B19037",.,"AGE OF HOUSEHOLDER BY HOUSEHOLD INCOME IN 
