9.0,"9th to 12th grade, no diploma","12.3%","0.9","15.1%","1.0","*"
"DP02",60.0,"High school graduate (includes equivalency)","38.5%","1.5","35.5%","1.3",
"DP02",61.0,"Some college, no degree","24.5%","1.3","27.5%","1.2","*"
"DP02",62.0,"Associate's degree","6.9%","0.6","7.0%","0.7",
"DP02",63.0,"Bachelor's degree","7.7%","0.9","6.4%","0.7",
"DP02",64.0,"Graduate or professional degree","3.8%","0.6","3.6%","0.6",
"DP02",64.3,,,,,,
"DP02",65.0,"Percent high school graduate or higher","81.4","**","80.0","**",
