0.3%","+/-0.2%","yes"
"        1","      16","85 years and over","        32,134","   1.4%","        28,036","   1.2%","- 0.2%","+/-0.2%","no"
"        1","      17"," "," "," "," "," "," "," "," "
"        1","      17","Median age (years)","          35.9","(NA)","          36.9","(NA)","           1.0","+/-0.3","yes"
"        1","      18"," "," "," "," "," "," "," "," "
"        1","      18","18 years and over","     1,676,959","  74.7%","     1,711,840","  74.9%","   0.2%","+/-0.2%","no"
"      
