B99233",.,"Universe:  Population 16 years and over",,,,
"B99233",1.000,"Total:","3,517,950","+/-7,182","3,510,768","3,525,132"
"B99233",2.000,"Worked in the past 12 months:","2,616,365","+/-11,927","2,604,438","2,628,292"
"B99233",2.700,"Usual hours worked per week in the past 12 months --",,,,
"B99233",3.000,"Imputed","170,206","+/-9,767","160,439","179,973"
"B99233",4.000,"Not imputed","2,446,159","+/-14,071","2,432,088","2,460,230"
"B99233",5.000,"Did not work in the past 12 months","901,585","+/-10,333"
