e",18,"18 years and over","78.6","+/-0.3","79.2","+/-0.3"
"002","White alone",19,"21 years and over","75.2","+/-0.4","76.0","+/-0.4"
"002","White alone",20,"62 years and over","19.3","+/-0.4","19.9","+/-0.4"
"002","White alone",21,"65 years and over","15.8","+/-0.2","16.2","+/-0.2"
"002","White alone",22,"Under 18 years","142,481","+/-2,523","131,346","+/-2,469"
"002","White alone",23,"Male","51.7","+/-0.9","51.4","+/-0.8"
"002","White alone",24,"Female","48.3","+/-0.9","48.6","+/-0.8"
"002","White alone",2
