 16 , 22 , 21 , 29 , 26 , 37 , 48 , N/A ,,
"Research and Special Programs Administration, total", 97 , 94 , 107 , 129 , 142 , 175 , 213 , 251 , 275 , 278 , 274 , 255 , 276 , 253 , 267 , 303 , 323 , 337 , 329 ,,
Research and Special Programs, 21 , 18 , 20 , 16 , 16 , 18 , 18 , 37 , 39 , 49 , 65 , 57 , 59 , 45 , 75 , 90 , 87 , 80 , 91 ,,
Emergency Preparedness Fund, - , - , - , - , - , - , - , - , 10 , 9 , 7 , 8 , 7 , 7 , 9 , 14 , 13 , 13 , 14 ,,
Volpe National Transportation Systems Center, 76 , 75 , 87 
