ertainers and performers, sports, and related workers","728","+/-434","294","1,162"
"B24010",173.000,"Media and communication equipment workers","1,127","+/-587","540","1,714"
"B24010",174.000,"Healthcare practitioner and technical occupations:","12,840","+/-1,719","11,121","14,559"
"B24010",175.000,"Health diagnosing and treating practitioners and other technical occupations:","8,843","+/-1,303","7,540","10,146"
"B24010",176.000,"Physicians and surgeons","1,143","+/-580","563","1,723"
"B24010",177.000,"Reg
