,"Total:","120,701","+/-5,550","115,151","126,251"
"B21001I",2.000,"Male:","59,973","+/-3,664","56,309","63,637"
"B21001I",3.000,"18 to 34 years:","26,068","+/-2,627","23,441","28,695"
"B21001I",4.000,"Veteran","424","+/-341","83","765"
"B21001I",5.000,"Nonveteran","25,644","+/-2,707","22,937","28,351"
"B21001I",6.000,"35 to 54 years:","23,261","+/-1,818","21,443","25,079"
"B21001I",7.000,"Veteran","3,315","+/-983","2,332","4,298"
"B21001I",8.000,"Nonveteran","19,946","+/-2,113","17,833","22,059"
"B21001I",
