reole, Cajun)","10,278","+/-3,271","7,007","13,549"
"C16001",5.000,"German or other West Germanic languages","3,216","+/-1,068","2,148","4,284"
"C16001",6.000,"Slavic languages","1,720","+/-870","850","2,590"
"C16001",7.000,"Other Indo-European languages","20,097","+/-4,987","15,110","25,084"
"C16001",8.000,"Korean","1,738","+/-987","751","2,725"
"C16001",9.000,"Chinese","1,789","+/-911","878","2,700"
"C16001",10.000,"Vietnamese","4,082","+/-1,551","2,531","5,633"
"C16001",11.000,"Tagalog","3,013","+/-1,214
