3,5,20,17,24,        -,29
..Not enrolled,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         
...3 to 14 years old,"2,495",132,89,75,245,341,224,599,225,168,79,317
…15 to 17 years old,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         
….High School graduate,40,1,3,        -,9,        -,2,11,3,7,        -,3
….Not High School graduate,245,27,14,3,34,40,23,14,7,12,14,57
