in America:",191,"Management, professional, and related occupations","32.1","+/-2.2","6.3","+/-3.4"
"687","Latin America:",192,"Service occupations","23.9","+/-1.9","52.2","+/-7.2"
"687","Latin America:",193,"Sales and office occupations","36.9","+/-2.2","21.8","+/-5.6"
"687","Latin America:",194,"Farming, fishing, and forestry occupations","0.1","+/-0.1","0.0","+/-1.5"
"687","Latin America:",195,"Construction, extraction, maintenance, and repair occupations","1.1","+/-0.5","0.8","+/-1.4"
"687","Latin Ameri
