,999","119","+/-145","0.5","+/-0.6"
"DP04",87.0,"$1,000,000 or more","0","+/-275","0.0","+/-0.8"
"DP04",88.0,"Median (dollars)","155,900","+/-4,602","(X)","(X)"
"DP04",88.3,,,,,
"DP04",88.5,"MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS",,,,
"DP04",89.0,"Owner-occupied units","22,859","+/-1,984","100","(X)"
"DP04",90.0,"Housing units with a mortgage","18,311","+/-1,885","100","(X)"
"DP04",91.0,"Less than $300","50","+/-83","0.2","+/-0.4"
"DP04",92.0,"$300 to $499","341","+/-275","1.5","+/-1.2"
"DP04",93.
