,61.000,"Unemployed","1,327","+/-580","747","1,907"
"B23002D",62.000,"Not in labor force","9,870","+/-1,376","8,494","11,246"
"B23002D",63.000,"55 to 64 years:","10,822","+/-202","10,620","11,024"
"B23002D",64.000,"In labor force:","7,677","+/-796","6,881","8,473"
"B23002D",65.000,"In Armed Forces","0","+/-292","0","292"
"B23002D",66.000,"Civilian:","7,677","+/-796","6,881","8,473"
"B23002D",67.000,"Employed","7,472","+/-796","6,676","8,268"
"B23002D",68.000,"Unemployed","205","+/-200","5","405"
"B23002D",6
