6.2","+/-2.1","67.5","+/-0.8",,,,,,
"S2101",16.0,"Black or African American","28.4","+/-0.8","21.7","+/-1.9","29.2","+/-0.9",,,,,,
"S2101",17.0,"American Indian and Alaska Native","N","N","N","N","N","N",,,,,,
"S2101",18.0,"Asian","N","N","N","N","N","N",,,,,,
"S2101",19.0,"Native Hawaiian and Other Pacific Islander","N","N","N","N","N","N",,,,,,
"S2101",20.0,"Some other race","N","N","N","N","N","N",,,,,,
"S2101",21.0,"Two or more races","0.8","+/-0.2","1.2","+/-0.5","0.8","+/-0.2",,,,,,
"S2101",21.3,,,,,,
