1997/q2/,inq21997.tgz,977736.nc,19970513,14.3833,70.1167,1.00000,460.000,11.9800,30.5300,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,977737.nc,19970513,13.5333,71.0333,1.00000,460.000,12.1200,30.7200,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,977738.nc,19970514,12.6667,71.9833,1.00000,460.000,11.3100,30.0000,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,977739.nc,19970514,11.8333,72.9333,1.00000,460.000,11.0700,30.2600,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq2199
