.000,"Computer and mathematical occupations","508","+/-377","131","885"
"C24010",9.000,"Architecture and engineering occupations","2,608","+/-854","1,754","3,462"
"C24010",10.000,"Life, physical, and social science occupations","1,081","+/-609","472","1,690"
"C24010",11.000,"Community and social services occupations","2,538","+/-674","1,864","3,212"
"C24010",12.000,"Legal occupations","692","+/-418","274","1,110"
"C24010",13.000,"Education, training, and library occupations","2,341","+/-734","1,607","3,075"
