.000,"Other food preparation and serving workers including supervisors","754","+/-455","299","1,209"
"B24020",195.000,"Building and grounds cleaning and maintenance occupations","4,472","+/-1,579","2,893","6,051"
"B24020",196.000,"Personal care and service occupations:","5,031","+/-1,189","3,842","6,220"
"B24020",197.000,"Personal appearance workers","931","+/-669","262","1,600"
"B24020",198.000,"Transportation, tourism, and lodging attendants","129","+/-156","0","285"
"B24020",199.000,"Child care workers",
