37G",45.000,"$200,000 or more","N","N","N","N"
"C19037H",.,"AGE OF HOUSEHOLDER BY HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2007 INFLATION-ADJUSTED DOLLARS) (WHITE ALONE, NOT HISPANIC OR LATINO HOUSEHOLDER)",,,,
"C19037H",.,"Universe:  Households with a householder who is White alone, not Hispanic or Latino",,,,
"C19037H",1.000,"Total:","224,336","+/-3,354","220,982","227,690"
"C19037H",2.000,"Householder under 25 years:","8,759","+/-1,355","7,404","10,114"
"C19037H",3.000,"Less than $10,000","1,838","+/-7
