USTED DOLLARS) (WHITE ALONE, NOT HISPANIC OR LATINO HOUSEHOLDER)",,,,
"B19025H",.,"Universe:  Households with a householder who is White alone, not Hispanic or Latino",,,,
"B19025H",1.000,"Aggregate household income in the past 12 months (in 2007 inflation-adjusted dollars)","117,512,276,900","+/-1,593,732,461","115,918,544,439","119,106,009,361"
"B19025I",.,"AGGREGATE HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2007 INFLATION-ADJUSTED DOLLARS) (HISPANIC OR LATINO HOUSEHOLDER)",,,,
"B19025I",.,"Universe:  Ho
