r","2,051","+/-769","1.5","+/-0.6"
"DP05",16.3,,,,,
"DP05",17.0,"Median age (years)","37.3","+/-1.3","(X)","(X)"
"DP05",17.3,,,,,
"DP05",18.0,"18 years and over","100,281","+/-5,660","71.0","+/-1.9"
"DP05",19.0,"21 years and over","95,738","+/-5,417","67.8","+/-1.8"
"DP05",20.0,"62 years and over","14,489","+/-1,811","10.3","+/-1.3"
"DP05",21.0,"65 years and over","11,384","+/-1,641","8.1","+/-1.2"
"DP05",21.3,,,,,
"DP05",22.0,"18 years and over","100,281","+/-5,660","100","(X)"
"DP05",23.0,"Male","45,383",
