ntertainment, and recreation, and accommodation and food services:","84,955","+/-5,806","79,149","90,761"
"C24030",52.000,"Arts, entertainment, and recreation","17,005","+/-2,289","14,716","19,294"
"C24030",53.000,"Accommodation and food services","67,950","+/-4,917","63,033","72,867"
"C24030",54.000,"Other services, except public administration","66,054","+/-4,192","61,862","70,246"
"C24030",55.000,"Public administration","92,113","+/-5,051","87,062","97,164"
"C24040",.,"SEX BY INDUSTRY FOR THE FULL-TIME, 
