indian/1997/q2/,inq21997.tgz,1126002.nc,19970530,-9.0167,131.317,0.700000,758.800,22.4600,28.2310,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,1126003.nc,19970530,-9.0333,131.367,0.700000,759.400,10.9410,28.3540,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,1126004.nc,19970530,-9.1500,132.117,0.700000,759.400,15.4330,28.3240,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,1126005.nc,19970530,-9.2667,132.700,0.700000,758.800,28.1400,28.2010,,
woce-uot,./data/basins/sc/indian/1
