,GOATS & KIDS UNSPECIFIED ,991 ,Sum of Others ,  ,  ,  ,  ,  ,1140100
2007 ,449999 ,GOATS & KIDS UNSPECIFIED , 999, State Totals,0 ,  ,0 ,  ,    ,1983400
2007 ,478119 ,GOATS MILK ,31 ,Kings ,  ,  ,39915 ,32.49 ,CWT ,1297000
2007 ,478119 ,GOATS MILK ,47 ,Merced ,  ,  ,54660 ,33.99 ,CWT ,1858000
2007 ,478119 ,GOATS MILK ,991 ,Sum of Others ,  ,  ,17609 ,50.55 ,CWT ,890100
2007 ,478119 ,GOATS MILK , 999, State Totals,0 ,  ,112184 ,36.06 ,    ,4045100
2007 ,202999 ,GRAPEFRUIT ALL ,25 ,Imperial ,576 ,5.78 
