7","+/-237","120","594"
"B25009",17.000,"7-or-more person household","223","+/-221","2","444"
"B25010",.,"AVERAGE HOUSEHOLD SIZE OF OCCUPIED HOUSING UNITS BY TENURE",,,,
"B25010",.,"Universe:  Occupied housing units",,,,
"B25010",0.700,"Average household size --",,,,
"B25010",1.000,"Total:","2.88","+/-0.13","2.75","3.01"
"B25010",2.000,"Owner occupied","2.93","+/-0.16","2.77","3.09"
"B25010",3.000,"Renter occupied","2.78","+/-0.24","2.54","3.02"
"B25011",.,"TENURE BY HOUSEHOLD TYPE (INCLUDING LIVING ALONE) 
