spanic or Latino",252,"All people","11.5","+/-1.2","9.8","+/-1.2"
"450","Not Hispanic or Latino",253,"Under 18 years","15.4","+/-2.3","11.6","+/-2.2"
"450","Not Hispanic or Latino",254,"Related children under 18 years","14.8","+/-2.3","10.8","+/-2.2"
"450","Not Hispanic or Latino",255,"Related children under 5 years","16.5","+/-3.4","13.7","+/-4.1"
"450","Not Hispanic or Latino",256,"Related children 5 to 17 years","14.1","+/-2.6","9.7","+/-2.1"
"450","Not Hispanic or Latino",257,"18 years and over","10.2",
