B19101D",.,"FAMILY INCOME IN THE PAST 12 MONTHS (IN 2007 INFLATION-ADJUSTED DOLLARS) (ASIAN ALONE HOUSEHOLDER)",,,,
"B19101D",.,"Universe:  Families with a householder who is Asian alone",,,,
"B19101D",1.000,"Total:","5,784","+/-903","4,881","6,687"
"B19101D",2.000,"Less than $10,000","88","+/-100","0","188"
"B19101D",3.000,"$10,000 to $14,999","112","+/-131","0","243"
"B19101D",4.000,"$15,000 to $19,999","200","+/-208","0","408"
"B19101D",5.000,"$20,000 to $24,999","127","+/-161","0","288"
"B19101D",6.000,
