, 081)",165,"Employed","55.9","+/-1.1","52.1","+/-3.7"
"541","Irish (050, 081)",166,"Unemployed","3.5","+/-0.8","3.0","+/-1.0"
"541","Irish (050, 081)",167,"Percent of civilian labor force","5.8","+/-1.3","5.4","+/-1.7"
"541","Irish (050, 081)",168,"Workers 16 years and over","378,015","+/-6,572","50,220","+/-4,234"
"541","Irish (050, 081)",169,"Car, truck, or van - drove alone","75.3","+/-1.3","79.0","+/-3.7"
"541","Irish (050, 081)",170,"Car, truck, or van - carpooled","12.0","+/-1.2","9.2","+/-2.3"
"541"
