Margin of Error","Percent","Margin of Error"
"DP04",0.8,"HOUSING OCCUPANCY",,,,
"DP04",1.0,"Total housing units","55,463","+/-2,958","100","(X)"
"DP04",2.0,"Occupied housing units","47,961","+/-2,666","86.5","+/-3.1"
"DP04",3.0,"Vacant housing units","7,502","+/-1,888","13.5","+/-3.1"
"DP04",3.3,,,,,
"DP04",4.0,"Homeowner vacancy rate","5.0","+/-2.7","(X)","(X)"
"DP04",5.0,"Rental vacancy rate","19.9","+/-6.0","(X)","(X)"
"DP04",5.3,,,,,
"DP04",5.5,"UNITS IN STRUCTURE",,,,
"DP04",6.0,"Total housing units","
