0,0,0,0
,,,Other,"5,070",0,0,24,0,"5,094",164
,,Greater than 2000 ppm,,"3,000",37,0,0,1,"3,038",98
,,,Bonded,0,0,0,0,0,0,0
,,,Other,"3,000",37,0,0,1,"3,038",98
,Residual Fuel Oil,,,"13,353",170,"1,484",0,728,"15,735",508
,,Less than 0.31 percent sulfur,,"3,961",0,63,0,0,"4,024",130
,,0.31 to 1.00 percent sulfur,,"4,640",54,491,0,0,"5,185",167
,,Greater than 1.00 percent sulfur,,"4,752",116,930,0,728,"6,526",211
,Petrochemical Feedstocks,,,46,26,"6,763",0,0,"6,835",220
,,Naphtha for Petro. Feed. Us
