"Population in households","947,682","+/-485","691,396","+/-9,237"
"003","White alone or in combination with one or more other races",38,"Householder or spouse","57.2","+/-0.6","61.9","+/-0.8"
"003","White alone or in combination with one or more other races",39,"Child","29.1","+/-0.7","26.3","+/-0.8"
"003","White alone or in combination with one or more other races",40,"Other relatives","7.2","+/-0.6","5.7","+/-0.6"
"003","White alone or in combination with one or more other races",41,"Nonrelatives","6.5",
