indian/1997/q2/,inq21997.tgz,1072586.nc,19970619,-36.1500,122.633,0.700000,460.500,9.51000,15.5600,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,1072587.nc,19970619,-35.9167,121.433,0.700000,460.500,9.61000,15.1400,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,1072588.nc,19970619,-35.6833,120.100,0.700000,460.500,10.1800,18.7000,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,1072589.nc,19970619,-35.3417,116.520,0.700000,460.500,20.3600,20.4800,,
woce-uot,./data/basins/sc/indi
