LLS ,31 ,Kings ,  ,  ,7550 ,116.03 ,TONS ,876000
2007 ,268099 ,ALMOND HULLS ,39 ,Madera ,  ,  ,139380 ,107.00 ,TONS ,14914000
2007 ,268099 ,ALMOND HULLS ,47 ,Merced ,  ,  ,179047 ,121.17 ,TON ,21695000
2007 ,268099 ,ALMOND HULLS ,77 ,San Joaquin ,  ,  ,101500 ,107.00 ,TON ,10861000
2007 ,268099 ,ALMOND HULLS ,99 ,Stanislaus ,  ,  ,274000 ,104.00 ,TON ,28496000
2007 ,268099 ,ALMOND HULLS ,101 ,Sutter ,  ,  ,795 ,85.03 ,TON ,67600
2007 ,268099 ,ALMOND HULLS ,107 ,Tulare ,  ,  ,43500 ,113.01 ,TON ,491600
