panic or Latino",221,"Mean Supplemental Security Income (dollars)","9,822","+/-1,262","9,688","+/-1,446"
"451","White alone, not Hispanic or Latino",222,"With cash public assistance income","1.5","+/-0.4","1.2","+/-0.4"
"451","White alone, not Hispanic or Latino",223,"Mean cash public assistance income (dollars)","3,460","+/-804","3,671","+/-1,182"
"451","White alone, not Hispanic or Latino",224,"With retirement income","18.4","+/-1.0","21.1","+/-1.2"
"451","White alone, not Hispanic or Latino",225,"Mean re
