3",,,,,,
"S1501",9.0,"High school graduate (includes equivalency)","27.2","+/-0.4","27.5","+/-0.5","26.8","+/-0.4",,,,,,
"S1501",10.0,"Some college, no degree","12.8","+/-0.3","13.0","+/-0.4","12.6","+/-0.3",,,,,,
"S1501",11.0,"Associate's degree","6.1","+/-0.2","5.4","+/-0.2","6.8","+/-0.3",,,,,,
"S1501",12.0,"Bachelor's degree","19.6","+/-0.3","19.8","+/-0.4","19.4","+/-0.4",,,,,,
"S1501",13.0,"Graduate or professional degree","13.3","+/-0.2","13.5","+/-0.4","13.1","+/-0.3",,,,,,
"S1501",13.3,,,,,,,,,,,,,
