$25,000 to $29,999","3,997","+/-1,174","2,823","5,171"
"B20005",40.000,"$30,000 to $34,999","4,297","+/-1,134","3,163","5,431"
"B20005",41.000,"$35,000 to $39,999","2,414","+/-688","1,726","3,102"
"B20005",42.000,"$40,000 to $44,999","2,469","+/-717","1,752","3,186"
"B20005",43.000,"$45,000 to $49,999","2,269","+/-786","1,483","3,055"
"B20005",44.000,"$50,000 to $54,999","1,768","+/-679","1,089","2,447"
"B20005",45.000,"$55,000 to $64,999","1,784","+/-622","1,162","2,406"
"B20005",46.000,"$65,000 to $74,999
