EOGRAPHICAL MOBILITY IN THE PAST YEAR BY RACE (WHITE ALONE, NOT HISPANIC OR LATINO) FOR CURRENT RESIDENCE IN THE UNITED STATES",,,,
"B07004H",.,"Universe:  White alone, not Hispanic or Latino population 1 year and over in the United States",,,,
"B07004H",1.000,"Total:","31,125","+/-3,349","27,776","34,474"
"B07004H",2.000,"Same house 1 year ago","27,634","+/-3,251","24,383","30,885"
"B07004H",3.000,"Moved within same county","1,804","+/-777","1,027","2,581"
"B07004H",4.000,"Moved from different county withi
