 and insurance, and real estate and rental and leasing:","25,398","+/-1,946","23,452","27,344"
"B24032",41.000,"Finance and insurance","25,559","+/-1,772","23,787","27,331"
"B24032",42.000,"Real estate and rental and leasing","23,852","+/-16,781","7,071","40,633"
"B24032",43.000,"Professional, scientific, and management, and administrative and waste management services:","19,609","+/-2,310","17,299","21,919"
"B24032",44.000,"Professional, scientific, and technical services","20,634","+/-2,559","18,075","23,
