94,762","+/-1,347","41,049","+/-3,369"
"687","Latin America:",163,"In labor force","53.8","+/-1.2","48.6","+/-4.4"
"687","Latin America:",164,"Civilian labor force","53.6","+/-1.2","48.6","+/-4.4"
"687","Latin America:",165,"Employed","50.1","+/-1.2","43.4","+/-4.3"
"687","Latin America:",166,"Unemployed","3.4","+/-0.5","5.1","+/-2.0"
"687","Latin America:",167,"Percent of civilian labor force","6.4","+/-1.0","10.6","+/-4.1"
"687","Latin America:",168,"Workers 16 years and over","416,420","+/-6,523","45,061
