00,3 N GRAPE CREEK,TOM GREEN,TX,31.62,-100.55,QUARTER SIZE HAIL (SJT)
2332,100,3 N ROBERT LEE,COKE,TX,31.94,-100.48,QUARTER SIZE HAIL (SJT)
2333,175,FOSS RESERVOIR,CUSTER,OK,35.57,-99.22,(OUN)
2335,175,1 E BRONTE,COKE,TX,31.89,-100.28,(SJT)
2343,150,3 W SEDALIA,PETTIS,MO,38.7,-93.29,(EAX)
2344,88,PAOLA,MIAMI,KS,38.58,-94.87,(EAX)
2350,88,MCPHERSON,MCPHERSON,KS,38.37,-97.66,(ICT)
0009,75,7 N PAOLA,MIAMI,KS,38.68,-94.87,(EAX)
0013,75,NEW ALBANY,WILSON,KS,37.57,-95.93,DIME SIZED HAIL REPORTED. (ICT)
0013,125,S
