sc/indian/1997/q2/,inq21997.tgz,1313869.nc,19970420,-13.9000,55.4000,3.00000,910.000,6.07000,27.9000,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,1313870.nc,19970420,-15.2833,55.4000,3.00000,908.000,5.77000,28.1000,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,1313871.nc,19970420,-16.6667,55.3833,3.00000,894.000,5.94000,27.7900,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,1313872.nc,19970421,-18.1167,55.3500,3.00000,911.000,5.58000,27.6900,,
woce-uot,./data/basins/sc/india
