0,"5 to 6 people","15,210","+/-2,146","13,064","17,356"
"B17013",24.000,"7 or more people","2,200","+/-923","1,277","3,123"
"B17013",25.000,"Other families:","44,056","+/-3,925","40,131","47,981"
"B17013",26.000,"Male householder, no wife present:","14,712","+/-2,187","12,525","16,899"
"B17013",27.000,"2 people","7,220","+/-1,440","5,780","8,660"
"B17013",28.000,"3 to 4 people","6,605","+/-1,471","5,134","8,076"
"B17013",29.000,"5 to 6 people","764","+/-385","379","1,149"
"B17013",30.000,"7 or more people",
