","51,812","+/-29,845","21,967","81,657"
"B24022",15.000,"Health diagnosing and treating practitioners and other technical occupations","100,000+","***","***","***"
"B24022",16.000,"Health technologists and technicians","33,976","+/-610","33,366","34,586"
"B24022",17.000,"Service occupations:","30,769","+/-4,627","26,142","35,396"
"B24022",18.000,"Healthcare support occupations","21,725","+/-38,346","-16,621","60,071"
"B24022",19.000,"Protective service occupations:","36,360","+/-3,442","32,918","39,802"
"B
