restry, fishing and hunting, and mining","220","+/-185","35","405"
"C24050",17.000,"Construction","97","+/-119","0","216"
"C24050",18.000,"Manufacturing","1,387","+/-553","834","1,940"
"C24050",19.000,"Wholesale trade","275","+/-315","0","590"
"C24050",20.000,"Retail trade","743","+/-460","283","1,203"
"C24050",21.000,"Transportation and warehousing, and utilities","628","+/-372","256","1,000"
"C24050",22.000,"Information","265","+/-247","18","512"
"C24050",23.000,"Finance and insurance, and real estate and
