,67 ,9 ,4 ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
...Parent NILF 52wks lst yr for other reason,162 ,141 ,17 ,4 ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
..STAY AT HOME DAD,,,,,,,,,,,,,,
"...Child 15 or over, or not with two parents","7,911 ",558 ,63 ,43 ,2 ,"5,369 ",325 ,67 ,1 ,461 ,42 ,14 ,938 ,29 
...Parent in labor force (LF) 1 or more weeks last year,"3,159 ","2,429 ",611 ,117 ,2 ,- ,- ,- ,- ,- ,- ,- ,- ,- 
"...Parent not in LF (NILF) 52wks lst yr caring for family, spouse in LF 52wks",12 ,7 ,5 ,- ,- ,- ,- ,- ,- ,- ,- ,- ,
