 householder, no husband present, family:","192,269","+/-13,079","179,190","205,348"
"B11002B",10.000,"Relatives","183,887","+/-12,346","171,541","196,233"
"B11002B",11.000,"Nonrelatives","8,382","+/-2,338","6,044","10,720"
"B11002B",12.000,"In nonfamily households","90,788","+/-5,693","85,095","96,481"
"B11002C",.,"HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS (AMERICAN INDIAN AND ALASKA NATIVE ALONE)",,,,
"B11002C",.,"Universe:  Population in households with a householder who i
