l,,,,36.3,36.8,36.9,,-0.5,-0.6
Propane/Propylene,,,,47.0,46.1,39.3,,0.9,7.7
Unfinished Oils,,,,86.0,85.7,91.3,,0.3,-5.3
Other Oils (10),,,,138.0,137.0,127.1,,1.0,10.9
,,,,,,,,,
Total Stocks (Excl SPR) (7),,,,"1,004.3","1,001.4",953.5,,2.9,50.8
Crude Oil in SPR (11),,,,695.6,694.9,661.9,,0.7,33.7
Total Stocks (Incl SPR) (7),,,,"1,699.8","1,696.3","1,615.4",,3.5,84.4
,,,,,,,,,
1,,Includes lease condensate.,,,,,,,
2,,Net Imports = Gross Imports (line 3) + Strategic Petroleum Reserve (SPR) ,,,,,,,
,,
