le householder, no husband present:","3,872","+/-967","2,905","4,839"
"C23007",15.000,"In labor force","2,863","+/-831","2,032","3,694"
"C23007",16.000,"Not in labor force","1,009","+/-538","471","1,547"
"C23007",17.000,"No children under 18 years:","13,430","+/-1,379","12,051","14,809"
"C23007",18.000,"Married-couple family:","9,609","+/-1,202","8,407","10,811"
"C23007",19.000,"Husband in labor force:","5,536","+/-1,003","4,533","6,539"
"C23007",20.000,"Wife in labor force","4,170","+/-858","3,312","5,028"
