ull-time, year-round in the past 12 months","57,104","+/-6,702","50,402","63,806"
"B20017A",4.000,"Other","14,319","+/-7,722","6,597","22,041"
"B20017A",4.700,"Female --",,,,
"B20017A",5.000,"Total","30,373","+/-7,801","22,572","38,174"
"B20017A",6.000,"Worked full-time, year-round in the past 12 months","53,789","+/-10,541","43,248","64,330"
"B20017A",7.000,"Other","12,976","+/-3,443","9,533","16,419"
"B20017B",.,"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2007 INFLATION-ADJUSTED DOLLARS) BY SEX BY WORK EXP
