2I",.,"MEDIAN NONFAMILY HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2007 INFLATION-ADJUSTED DOLLARS) (HISPANIC OR LATINO HOUSEHOLDER)",,,,
"B19202I",.,"Universe:  Nonfamily households with a householder who is Hispanic or Latino",,,,
"B19202I",1.000,"Median nonfamily household income in the past 12 months (in 2007 inflation-adjusted dollars)","26,754","+/-9,755","16,999","36,509"
"B19214",.,"AGGREGATE NONFAMILY HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2007 INFLATION-ADJUSTED DOLLARS)",,,,
"B19214",.,"Unive
