UNITS IN STRUCTURE (WHITE ALONE, NOT HISPANIC OR LATINO HOUSEHOLDER)",,,,
"C25032H",.,"Universe:  Occupied housing units with a householder who is White alone, not Hispanic or Latino",,,,
"C25032H",1.000,"Total:","204,855","+/-4,485","200,370","209,340"
"C25032H",2.000,"1, detached or attached","144,026","+/-4,641","139,385","148,667"
"C25032H",3.000,"2 to 4 units","9,884","+/-1,747","8,137","11,631"
"C25032H",4.000,"5 or more units","30,337","+/-2,431","27,906","32,768"
"C25032H",5.000,"Mobile home, boat, 
