anagement, professional, and related occupations:","13,007","+/-2,041","10,966","15,048"
"C24060",93.000,"Management, business, and financial occupations:","3,840","+/-1,083","2,757","4,923"
"C24060",94.000,"Management occupations","3,199","+/-991","2,208","4,190"
"C24060",95.000,"Business and financial operations occupations","641","+/-398","243","1,039"
"C24060",96.000,"Professional and related occupations:","9,167","+/-1,725","7,442","10,892"
"C24060",97.000,"Computer and mathematical occupations","0","+
