32B",.,"Universe:  Occupied housing units with a householder who is Black or African American alone",,,,
"C25032B",1.000,"Total:","7,530","+/-929","6,601","8,459"
"C25032B",2.000,"1, detached or attached","4,344","+/-749","3,595","5,093"
"C25032B",3.000,"2 to 4 units","595","+/-484","111","1,079"
"C25032B",4.000,"5 or more units","2,591","+/-897","1,694","3,488"
"C25032B",5.000,"Mobile home, boat, RV, van, etc.","0","+/-292","0","292"
"C25032C",.,"UNITS IN STRUCTURE (AMERICAN INDIAN AND ALASKA NATIVE ALONE 
