5",47.0,"Native Hawaiian and Other Pacific Islander","0.0%","0.1","N","N","N"
"DP05",48.0,"Native Hawaiian","N","N","N","N","N"
"DP05",49.0,"Guamanian or Chamorro","N","N","N","N","N"
"DP05",50.0,"Samoan","N","N","N","N","N"
"DP05",51.0,"Other Pacific Islander","N","N","N","N","N"
"DP05",52.0,"Some other race","0.6%","0.3","N","N","N"
"DP05",53.0,"Two or more races","0.6%","0.3","N","N","N"
"DP05",54.0,"White and Black or African American","N","N","N","N","N"
"DP05",55.0,"White and American Indian and Alask
