,000 to $99,999","11.2%","0.6","12.1%","0.7",
"DP03",60.0,"$100,000 to $149,999","10.9%","0.6","10.6%","0.4",
"DP03",61.0,"$150,000 to $199,999","3.1%","0.3","3.8%","0.3",
"DP03",62.0,"$200,000 or more","2.5%","0.3","4.2%","0.4","*"
"DP03",63.0,"Median household income (dollars)","48,327","1,546","51,294","1,055",
"DP03",64.0,"Mean household income (dollars)","62,105","1,027","67,429","1,145","*"
"DP03",64.3,,,,,,
"DP03",65.0,"With earnings","88.0%","0.5","86.9%","0.7",
"DP03",66.0,"Mean earnings (dollars)"
