rried spouse present,"2,698",9,72,612,577,373,761,233,39,21
..Other family householder,"1,239",28,103,441,360,115,147,36,5,6
.NONFAMILY HOUSEHOLDER,,,,,,,,,,
..Living alone,"1,068",12,16,141,146,76,471,157,27,22
..Living with nonrelatives,476,2,10,82,89,40,193,44,11,7
.RELATIVE OF HOUSEHOLDER,,,,,,,,,,
..Spouse,"4,395",20,173,"1,154",806,496,"1,306",365,44,30
..Other,"1,122",20,61,352,251,108,269,42,12,6
.NONRELATIVE,,,,,,,,,,
..Nonrelative,983,15,79,280,205,58,272,60,6,8
35 to 44 years,,,,,,,,,,