emale householder, no husband present, family",,,"35.2","+/-4.7"
"001","Total population",250,"With related children under 18 years",,,"46.1","+/-5.7"
"001","Total population",251,"With related children under 5 years only",,,"58.8","+/-13.7"
"001","Total population",252,"All people",,,"17.9","+/-1.5"
"001","Total population",253,"Under 18 years",,,"25.6","+/-3.2"
"001","Total population",254,"Related children under 18 years",,,"24.7","+/-3.0"
"001","Total population",255,"Related children under 5 years",,,"
