rtation and warehousing, and utilities","15,325","+/-1,806","13,519","17,131"
"C24050",22.000,"Information","38,390","+/-3,018","35,372","41,408"
"C24050",23.000,"Finance and insurance, and real estate and rental and leasing","80,235","+/-4,173","76,062","84,408"
"C24050",24.000,"Professional, scientific, and management, and administrative and waste management services","231,832","+/-6,943","224,889","238,775"
"C24050",25.000,"Educational services, and health care and social assistance","291,939","+/-6,984"
